,time,sst_4270,sst_4360,sst_4216,sst_4339,sst_34320,,4270,4360,4216,4339,34320
259,1871-08-01,4.472750187,6.020647301,4.028500199,1.467750072,-0.687555581,,,,,,
260,1871-09-01,4.014125228,5.23058852,3.716500163,1.102500059,-0.68911114,,,,,,
261,1871-10-01,3.278125137,4.141000201,1.888250083,0.132875009,-1.243333379,,,,,,
262,1871-11-01,2.228375122,3.775823705,0.515750021,-0.722250024,-1.590777848,,,,,,
263,1871-12-01,1.780625068,3.154588363,-0.269750018,-1.344750047,-1.715555615,,,,,,
264,1872-01-01,1.768750086,2.85294131,-0.810250029,-1.42125009,-1.800222304,,,,,,
265,1872-02-01,1.729250073,2.623058919,-1.071250051,-1.435125068,-1.80388901,,,,,,
266,1872-03-01,1.474625103,2.088000135,-0.810250029,-1.559750073,-1.793888966,,,,,,
267,1872-04-01,1.446875051,1.797764776,-0.003499999,-1.453375049,-1.771222326,,,,,,
268,1872-05-01,1.903625146,2.463882487,0.770750031,-1.189625069,-1.742555632,,,,,,
269,1872-06-01,2.910250098,3.940588439,1.509000093,-0.353875017,-1.615666747,,,,,,
270,1872-07-01,4.450250238,5.471588429,2.791500092,0.745875046,-1.047000051,,,,,,
271,1872-08-01,4.545875192,6.155412029,3.690750182,1.291500062,-0.637000033,,,,,,
272,1872-09-01,3.971250117,4.919941369,3.186500192,0.867375046,-0.718444483,,,,,,
273,1872-10-01,2.708125114,4.127176663,1.549500078,0.475375025,-1.289555603,,,,,,
274,1872-11-01,1.48087509,3.434647266,0.181000005,-0.639375038,-1.617444528,,,,,,
275,1872-12-01,1.123750053,2.891353067,-0.298250008,-1.337250039,-1.728777872,,,,,,
276,1873-01-01,1.417000063,2.754294276,-0.804000035,-1.445000075,-1.805888984,,,,,,
277,1873-02-01,1.532250077,2.550764827,-1.088000059,-1.435000062,-1.812555671,,,,,,
278,1873-03-01,1.372250065,1.839529495,-0.833000034,-1.574375108,-1.805333429,,,,,,
279,1873-04-01,1.633375078,1.683882451,-0.051000001,-1.525125079,-1.789888991,,,,,,
280,1873-05-01,2.118250117,2.275941249,0.797750041,-1.476500086,-1.784444531,,,,,,
281,1873-06-01,3.317500144,3.583235439,1.700500071,-1.201250069,-1.767000079,,,,,,
282,1873-07-01,4.564875245,5.362882628,3.11100018,-0.002750001,-1.346111172,,,,,,
